b_a,b_s,seq,truth_arrangement_sd,est_arrangement_sd,var_null,sf_gsi,gsi_naive,z_submitted,p_submitted,p_perm
0.0,0.1,0,0.0,0.0004134491152973711,2.384612687458105e-06,0.0006681771475574475,0.009366932861606567,1.2873166187037728,0.19798395342350128,1.0
0.0,0.1,1,0.0,0.0,2.7355008961631163e-06,0.0,0.005523701432574601,2.1376722008605156,0.032543357253617344,1.0
0.0,0.1,2,0.0,0.0,0.0001191804084730453,0.0,0.022035663659568872,0.15841376705874757,0.8741307662098765,1.0
0.0,0.1,3,0.0,0.0,3.730745960921092e-06,0.0,0.010062650017473532,0.30725385761751134,0.7586501542913373,1.0
0.0,0.1,4,0.0,0.0,0.00014003392683604053,0.0,0.018888572146750493,0.30502527914061933,0.760346899223912,1.0
0.0,0.1,5,0.0,1.124366563280595e-16,2.7315346770931405e-06,1.3885949751626387e-16,0.0456872129278281,0.4954211165229628,0.620302891931094,1.0
0.0,0.1,6,0.0,0.0004343374772894515,0.001044011629637381,0.0006918376543652273,0.04970448213681426,0.8171648721309456,0.4138342142152367,1.0
0.0,0.1,7,0.0,0.00036209286185133124,3.618064537187928e-06,0.0009107113965360843,0.011351382782027571,1.3125319741213075,0.1893407050316398,1.0
0.0,0.1,8,0.0,0.0,2.1419420995058537e-06,0.0,0.006901441524147884,1.3577261934025515,0.17455058211726282,1.0
0.0,0.1,9,0.0,0.0,0.00021317623621921878,0.0,0.017758657012145396,0.8316740428873128,0.4055929559690794,1.0
0.0,0.1,10,0.0,0.0,0.00020786121434583104,0.0,0.029470185178440182,0.43267034181265546,0.6652542790239038,1.0
0.0,0.1,11,0.0,0.0,1.4523283987303753e-06,0.0,0.012095815583523666,0.3308050943112339,0.7407917126372761,1.0
0.0,0.1,12,0.0,0.0,1.5542483363221428e-06,0.0,0.005598739690848604,0.41063720244062274,0.6813385802885206,1.0
0.0,0.1,13,0.0,0.0003462356810542438,2.8181014829562907e-06,0.0005517654744634764,0.014561153349482627,1.4603677627566878,0.14418902769345276,1.0
0.0,0.1,14,0.0,0.0,8.328602660851946e-07,0.0,0.050054040044451596,0.1260513930434301,0.8996912432061781,1.0
0.0,0.1,15,0.0,0.0005213776549905292,5.909958003829665e-06,0.0008905021515602527,0.01716256443693002,0.4835187457255362,0.6287274528547662,1.0
0.0,0.1,16,0.0,0.0004027638683488085,5.810893640695971e-06,0.0006643846356996825,0.006365721742450162,0.40611928858987517,0.6846549538755036,1.0
0.0,0.1,17,0.0,0.0,0.0011379730709773358,0.0,0.008919596877253117,0.7001483196292158,0.4838346824795121,1.0
0.0,0.1,18,0.0,0.00047983949871977655,0.0013506860892076632,0.0006024663351801797,0.05307309945754055,0.799072903179512,0.4242481405679186,1.0
0.0,0.1,19,0.0,0.0,0.000646610682353437,0.0,0.006324543750421206,0.6477251712542523,0.5171627208602554,1.0
0.0,0.1,20,0.0,0.0015170927734943222,0.00013834317990511216,0.0022539195716420237,0.02273458620202677,1.1560215340224584,0.2476723489695647,1.0
0.0,0.1,21,0.0,0.0,9.401277238681799e-07,0.0,0.005024471511742208,0.7246674755380397,0.4686560528880088,1.0
0.0,0.1,22,0.0,0.0,9.552365420522415e-06,0.0,0.007415314107741957,0.05208636829200035,0.9584598747493036,1.0
0.0,0.1,23,0.0,0.0,2.9276707009390935e-05,0.0,0.011466410113510546,0.6533462264244602,0.5135330973045251,1.0
0.0,0.1,24,0.0,0.001675403278268035,1.1524136939682508e-05,0.003331001469556042,0.014897423183242532,1.1773767427622408,0.2390451684102759,1.0
0.0,0.1,25,0.0,0.0,2.6178010939304566e-06,0.0,0.00666196912475344,0.9102492756832781,0.36269106266056905,1.0
0.0,0.1,26,0.0,0.0,6.019184173389769e-06,0.0,0.009247571096192805,0.24024118113644397,0.8101432903859194,1.0
0.0,0.1,27,0.0,0.0003952847075210566,0.0003456105558045264,0.000585084625402173,0.02148315832841089,0.8539432236567236,0.3931364486846949,1.0
0.0,0.1,28,0.0,0.0,0.0008039407119669878,0.0,0.008590363781525426,0.16031868499596305,0.8726300407470531,1.0
0.0,0.1,29,0.0,0.0,9.553774380319282e-07,0.0,0.01300085400445346,0.33457095409199983,0.7379487586222375,1.0
0.0,0.1,30,0.0,0.0021659317199273303,5.354845695163109e-06,0.0034601478442283866,0.07205191414400038,0.4528071829125546,0.6506875909098997,0.632183908045977
0.0,0.1,31,0.0,0.0,0.0003606379204914768,0.0,0.04463214893345734,0.2659212770396201,0.7902998381832071,1.0
0.0,0.1,32,0.0,0.00039821757900849824,2.0210791337333705e-06,0.0009270570435725447,0.013260733733469289,1.469250155656355,0.1417649508677934,1.0
0.0,0.1,33,0.0,0.0,0.0004126419726759044,0.0,0.039596240246231804,0.6590520432073215,0.5098623496371297,1.0
0.0,0.1,34,0.0,0.0,3.4658888275308537e-06,0.0,0.009716329092460977,0.07106013783691846,0.9433498933318609,1.0
0.0,0.1,35,0.0,0.0,5.2830008481722625e-06,0.0,0.010694697949132793,1.3258830668422268,0.18487843265461756,1.0
0.0,0.1,36,0.0,0.0,0.004320675719266053,0.0,0.0757146897983842,0.291209008651227,0.7708914731037235,1.0
0.0,0.1,37,0.0,0.0,3.202158899355712e-06,0.0,0.0054259769325148526,0.7895195972451794,0.4298083804020125,1.0
0.0,0.1,38,0.0,0.0,6.142921511207207e-06,0.0,0.017173441754948445,2.035682123973592,0.04178228526044481,1.0
0.0,0.1,39,0.0,0.0005002962631076183,3.5647690267692747e-06,0.0006782039389400385,0.02181028173568001,0.3526591039722183,0.7243440221585764,1.0
0.0,0.1,40,0.0,0.001417756611969411,0.001395810055780518,0.002280173184264393,0.06973105076904185,0.47421508175669075,0.6353465395897109,1.0
0.0,0.1,41,0.0,0.002093792141280256,9.231943322078354e-06,0.004451754376682138,0.006606075021078259,0.5758509363736157,0.5647159411255969,0.991504247876062
0.0,0.1,42,0.0,1.124366563280595e-16,5.747161717883951e-06,1.3341700030809767e-16,0.0051508146554414685,0.6023022243759624,0.5469729804610912,1.0
0.0,0.1,43,0.0,0.0003463947433841325,0.021516711491158434,0.000584051005377229,0.06685509498939658,0.36484134600292606,0.7152298396498948,1.0
0.0,0.1,44,0.0,0.0,6.011336990695407e-06,0.0,0.008578701325154533,1.450872652611641,0.14681532424964483,1.0
0.0,0.1,45,0.0,0.0,1.4408946693037746e-05,0.0,0.013229496273471548,0.6626362026214854,0.5075635781551129,1.0
0.0,0.1,46,0.0,0.0,4.636309184069049e-06,0.0,0.020279457849570966,0.5271921653067935,0.5980601488038317,1.0
0.0,0.1,47,0.0,0.0,2.0421642570822985e-06,0.0,0.018575341226718913,0.29558752969940394,0.7675450981644172,1.0
0.0,0.1,48,0.0,0.0,0.00013047104184997857,0.0,0.020388443737440223,0.15169964642888395,0.8794238360540603,1.0
0.0,0.1,49,0.0,5.621832816402975e-17,1.942999102604515e-06,1.3000656349431699e-16,0.003852358411821793,0.17137884800160072,0.8639258855699274,1.0
0.0,0.1,50,0.0,0.00038510816557934077,4.2850104773549545e-06,0.0008263309534872664,0.00812077567379824,1.1369399852729951,0.2555633751330415,1.0
0.0,0.1,51,0.0,0.0,4.570854051602213e-06,0.0,0.01304662487727756,0.8361218833476209,0.4030863386103427,1.0
0.0,0.1,52,0.0,0.0,5.260247549052445e-06,0.0,0.010895208128668371,0.9437313080819105,0.3453069708755061,1.0
0.0,0.1,53,0.0,0.0,6.3919652669955195e-06,0.0,0.012193726805575827,1.2656755385116307,0.20562926947596027,1.0
0.0,0.1,54,0.0,0.00047983949871977655,2.270046296726347e-05,0.0006771537510353552,0.01140653742795078,1.4000847332463877,0.16148794618404194,1.0
0.0,0.1,55,0.0,0.0,3.5764662966677738e-06,0.0,0.012619891257656442,0.5581871915456226,0.5767165662418903,1.0
0.0,0.1,56,0.0,0.0,5.5666471509909535e-06,0.0,0.006170340483365368,0.31203156476718596,0.7550165348646138,1.0
0.0,0.1,57,0.0,0.0,3.439040427382558e-06,0.0,0.011741731258393413,0.7821453934201275,0.4341291319902312,1.0
0.0,0.1,58,0.0,0.0005927429101832337,6.0640726878986645e-06,0.001019052067321033,0.015906930764902474,0.4761396280658775,0.6339749065565505,1.0
0.0,0.1,59,0.0,0.0,3.40056088612521e-06,0.0,0.03372847462071287,0.19176022208712606,0.8479300308213689,1.0
0.0,0.5,0,0.0,0.0020672455764868002,5.9615317186451825e-05,0.002369267446481807,0.032224648695367994,1.2873166187037686,0.1979839534235026,1.0
0.0,0.5,1,0.0,1.124366563280595e-16,6.838752240407888e-05,1.1675204401336035e-16,0.01984775047784786,2.1376722008605373,0.03254335725361557,1.0
0.0,0.5,2,0.0,0.0,0.00023286705517272388,0.0,0.035384607498258135,0.6192844531432685,0.535728984507686,1.0
0.0,0.5,3,0.0,0.0,9.326864902302692e-05,0.0,0.03940362291016089,0.3072538576175177,0.7586501542913324,1.0
0.0,0.5,4,0.0,0.0,0.00018749652254936502,0.0,0.03403520188093442,0.9039219006097529,0.36603681535651966,1.0
0.0,0.5,5,0.0,0.0,6.828836692732788e-05,0.0,0.044066334360161406,0.6631631066979938,0.5072260971664764,1.0
0.0,0.5,6,0.0,0.0021716873864473132,0.0011795743734772143,0.002430051262478561,0.04308097583695189,0.761593331994582,0.44630275576184175,1.0
0.0,0.5,7,0.0,0.0018104643092566822,9.045161342969875e-05,0.002832536689577792,0.03422940024431915,1.3125319741213077,0.1893407050316398,1.0
