model,reference,sd_arrange,sd_null,sd_full,var_arrange,var_null,var_full,sf_gsi,gsi_naive,arrangement_share,spacer_share,p_perm,p_gpd,z_submitted
billboard,0.6246132254600525,0.09404825337314146,0.2566198019764103,0.2795481196725759,0.008845073962538615,0.06585372276641205,0.07814715121247283,0.15057038426279107,0.7093419198491588,0.11318485479387352,0.8426887192261634,1.0,,0.8246101011114269
billboard,-0.6835747957229614,0.15379492576120474,0.21112427847771195,0.23750469722894843,0.023652879189894473,0.04457346096273447,0.056408481205814466,0.22498624396844294,0.2544426036192783,0.41931423580779525,0.7901907658194479,0.9598080383923215,,1.0520066951735711
billboard,-1.2254098653793335,0.04445830241547139,0.2862916169942741,0.25700585290510497,0.0019765406536655095,0.08196288996119613,0.06605200842748046,0.03628035294273483,0.19967764487061937,0.02992400535156451,1.240884144366094,1.0,,0.2400487031242757
billboard,-0.20490528643131256,0.061662469954880623,0.3096115838691241,0.33105010593726647,0.0038022602009365556,0.09585933286594764,0.10959417264107536,0.30093157199021725,1.2767807543592549,0.03469399977487021,0.8746754554175997,1.0,,0.16426431797791735
billboard,1.7076048851013184,0.03961164567591076,0.1951618873939389,0.21099735576122866,0.0015690824731538994,0.03808816229116448,0.04451988413823049,0.02319719627269657,0.12748094640991922,0.03524453182047892,0.8555314783143627,1.0,,0.24870606065877499
billboard,-0.07055599987506866,0.12689961140139022,0.2227319857047457,0.26374089095407127,0.016103511373823844,0.04960953745597905,0.06955925756124733,1.7985658431045901,8.332573369596075,0.2315078098647705,0.7131982024433997,0.9998000399920016,,0.14750919477832805
billboard,-0.4981323480606079,0.029954972303790496,0.23808854857316125,0.25534028367388034,0.0008973003657208558,0.05668615696167457,0.06519866046665769,0.06013456548327969,0.38160960511356484,0.013762558299487323,0.8694374478853537,1.0,,0.6696222385092135
billboard,-0.0257350355386734,0.16845980706097768,0.23149807403439887,0.2752688853079633,0.028378706595021824,0.05359135828163602,0.07577295921868864,6.5459325598297395,2.0879358356641013,0.3745228758074226,0.7072623114397022,0.9656068786242752,,0.3854513853098167
billboard,1.609416127204895,0.06384608584672191,0.1565727254900983,0.23931236358175736,0.0040763226779469836,0.024515018367397674,0.05727040736308723,0.03967034054617352,0.13664550178865012,0.07117677113947535,0.428057342284568,1.0,,0.5930373443378952
billboard,-0.8801485896110535,0.053368226840865535,0.32373413672237744,0.29108668225018874,0.0028481676361380806,0.10480379127938295,0.08473145658342233,0.060635473908388006,0.5621367623469616,0.033614052572481366,1.2368935399593703,1.0,,1.2447383894026367
billboard,-0.4323570132255554,0.07350179430435856,0.2700457299609319,0.24749856356436103,0.005402513765960237,0.07292469627013255,0.06125553896642206,0.17000254894908703,0.3874973408510085,0.08819633060320779,1.190499626655919,1.0,,0.8337557088256636
billboard,1.6016030311584473,0.04021620192108871,0.17078128444266805,0.18793464405369345,0.0016173428969577797,0.029166247115887493,0.03531943043558846,0.025109968661835097,0.16264864762449255,0.045791873680049985,0.8257847523639307,1.0,,2.3739056355002175
billboard,-0.28155672550201416,0.04026465028303654,0.2884571282097807,0.2118808699982886,0.0016212420624152346,0.08320751481503387,0.044893503071231675,0.14300724023283365,0.50176953127369,0.036113066513050684,1.8534422382457005,1.0,,0.6641023518328736
billboard,0.4935508966445923,0.01531875920767147,0.1642627635405167,0.2531372207877696,0.00023466438366261943,0.026982255485967697,0.06407845254815603,0.031037851033836866,4.787926751761108,0.0036621418640886377,0.42108157130807866,1.0,,1.7408779029887718
billboard,-0.19973959028720856,0.052936237716206695,0.267799607424974,0.31913970026420896,0.0028022452635467444,0.07171662973697018,0.10185014828472913,0.26502626564963355,8.932372818499738,0.027513413684120264,0.7041386875204284,1.0,,0.737821164017121
billboard,0.004929438233375549,0.10480705361110138,0.24428428249127845,0.3178146894934377,0.010984518486640279,0.05967481067227873,0.10100617685781023,21.26145995734128,6.639278768582896,0.1087509578954122,0.5908035778473721,0.9996000799840032,,0.13510835313435288
billboard,0.9562628865242004,0.018972487648069334,0.1746331213952171,0.3135756385421215,0.0003599552875561434,0.030496727088236638,0.09832968108709923,0.019840242589597972,0.4176712132712219,0.0036606982101091063,0.3101477270247934,1.0,,0.6553168443114453
billboard,-1.0606896877288818,0.05587849467719674,0.29779511623902877,0.23674350384186374,0.003122406167389504,0.08868193125581667,0.056047486611322556,0.052681284001961176,0.2866178740145922,0.055710012280171084,1.5822641944822087,1.0,,0.9913668704373937
billboard,-0.5980755090713501,0.07205263393988434,0.23992257322420182,0.2653729456026326,0.005191582057674973,0.05756284114252249,0.07042280025781779,0.12047414222288193,0.4485537764195606,0.07372018776118809,0.8173892678476998,1.0,,0.024329869426935935
billboard,1.1861743927001953,0.07761099103215417,0.20798920919515246,0.24031048447045036,0.006023465928993115,0.04325951114162489,0.05774912894642256,0.06542966321797025,0.26542827214707637,0.1043040135649744,0.7490937427257027,1.0,,1.1685114875878488
billboard,-1.1888610124588013,0.027129914724342737,0.25587592402069037,0.25705262979953347,0.0007360322729501088,0.06547248849344212,0.066076054486856,0.022820089514276082,0.22543943723484394,0.011139168018824763,0.9908655866622009,1.0,,0.18919008799784673
billboard,-0.7226195931434631,0.0,0.23693291512628492,0.2186259557818391,0.0,0.05613720627023934,0.047797308541522664,0.0,0.3006884395194518,0.0,1.1744846725307054,1.0,,0.020423375791069558
billboard,0.8504432439804077,0.017446185805312424,0.1955608924423635,0.2157729729668498,0.0003043693991534847,0.03824406265285366,0.04655797586295289,0.02051422705606718,0.2846887065074364,0.006537427658999185,0.8214288087916044,1.0,,0.4287712279649873
billboard,-0.20520474016666412,0.020939933058368977,0.26691372180777156,0.30746098737175803,0.00043848079648897394,0.07124293488927647,0.09453225875561636,0.10204410015753967,11.414391555077144,0.00463842504411673,0.7536362277500724,1.0,,0.7550258633106997
billboard,-0.4755963683128357,0.07742455686903758,0.3743141343546603,0.3184218393020944,0.005994562006366835,0.1401110711776787,0.10139246774452883,0.16279467638430242,0.9001938471498363,0.05912236026714424,1.381868636738444,1.0,,0.38273289423203155
billboard,0.47136372327804565,0.10429542073449513,0.204686058367992,0.228026218872121,0.010877534786185358,0.04189638249022503,0.051995956493116426,0.2212631468734684,0.43900560567255836,0.20919962858314567,0.8057623191482506,0.9918016396720656,,0.21072820187028427
