seq_id,z_census,z_at_100_mean,z_at_100_sd,z_at_100_max,z_at_100_min,z_big,p_parametric,p_empirical,p_gpd,n_exceed,shuffle_skew,shuffle_kurtosis,shapiro_W,shapiro_p
LMO2_367,7.571699971457982,1.8439463730637304,0.16274871016238945,2.1207962244841743,1.6121876647358537,1.8296874302748736,0.06729669154872941,0.06793206793206794,0.06473117485287527,67,-0.029337284700295542,0.03408146239733778,0.9990321925387238,0.8892440453006489
peak66332,5.2760456959089534,3.702429170644532,0.2678691150982054,4.06941365447491,3.2596553221795572,3.677372134562514,0.0002356491336767963,0.000999000999000999,0.0,0,0.00010861510754512042,0.1067380921895662,0.9985224939689151,0.5693817819755003
ENSG00000134962,4.250211638530864,1.8560860276906823,0.14724594233846544,2.0694647910296844,1.6202938609481696,1.8453238934814462,0.06499043677256666,0.06993006993006994,0.06414653642827807,69,0.060234422457596914,0.2886631502744774,0.998566869891265,0.5988292289739352
peak50246,3.9680511667287086,3.4489990604885903,0.356366137665828,4.027981461761263,3.0595376560745513,3.4166863102496023,0.0006338827343062015,0.000999000999000999,8.912214230505738e-05,0,0.23445193889199412,-0.17793677387255213,0.9948826417275591,0.0018562440475572545
peak20886,3.965085886208692,2.8948369199625756,0.24090622353755237,3.2518186708654935,2.5287140871557443,2.871568456419654,0.004084403069915865,0.004995004995004995,0.0030763051210796616,4,0.14162896796069996,-0.09354865468868923,0.9975558645133286,0.14193417820585125
peak1338,3.880783837219524,2.849056944293098,0.23861314163966002,3.1573235254283647,2.4516157575146633,2.802078252643394,0.005077455608784254,0.004995004995004995,0.0041926453427768105,4,0.003981237609534053,0.008743768963437759,0.9983225307221054,0.4445144454142431
MYC_2830,3.707902996012446,3.0436657623365893,0.27486911677959625,3.5081004362255337,2.7040729975898077,3.013484649924781,0.0025826610609704925,0.004995004995004995,0.0027845221419569937,4,-0.024226213204620126,0.0487336180004978,0.9990746462674309,0.9088329381818436
LMO2_4938,3.6106844084106244,1.979265329542417,0.16684300307840794,2.317130738379168,1.8173257700480296,1.9663255029647615,0.04926102270903643,0.05194805194805195,0.05163869008548921,51,-0.05647236520850591,0.0317872361720859,0.9988134944034226,0.7636169036791869
RBM38_9083,3.56168495513441,1.8436763781245147,0.20218190794766108,2.1637524743341334,1.5651610267940188,1.8235574602046867,0.06821900272992254,0.06593406593406594,0.06831384828890671,65,0.012078102315344577,0.06625135276452676,0.9990052910008694,0.875877288692107
peak23726,3.509668367749449,2.4178538865498256,0.17113911813158575,2.726086074341185,2.2172779817279,2.406865700411672,0.01609008561693681,0.015984015984015984,0.018700253018166423,15,-0.15829628215678712,0.09355704883601712,0.997643396690792,0.16320899363928493
peak28014,3.443591138441312,2.506324647947366,0.12022088610343942,2.641662357717035,2.290401575726997,2.5013719177302627,0.01237131827751936,0.011988011988011988,0.0108769617737513,11,-0.028233431406930454,-0.1359140355764148,0.9988988827333866,0.816721710071337
peak64837,3.402331776483147,1.700724259949131,0.1423536481975657,1.9190557380174005,1.4976079509423978,1.6931312949659298,0.09043047861477183,0.0969030969030969,0.09663155515495024,96,0.1327747630500361,-0.013288010034404607,0.9979109478309544,0.24732896237518343
ENSG00000108370,3.3836003485401016,3.3324539496929453,0.3154004032465764,3.8990083973089935,2.987159044639107,3.301267063697214,0.0009624921902349204,0.002997002997002997,0.0011258711883150774,2,-0.07378821896904142,0.13205868571729074,0.9984136109902779,0.49948743013211605
peak85980,3.3827402929954826,2.4605808508403997,0.18696135372605788,2.7061499315436675,2.1436434003055416,2.4451844980959923,0.014477805830034773,0.015984015984015984,0.015758176236617714,15,0.10226757727054145,0.3675519277191883,0.9964405646389413,0.022611122433627284
peak4566,3.3015818704001467,0.939569771223699,0.12690335300690128,1.074732669927455,0.6589702657104027,0.9313471544775894,0.3516740172788291,0.35664335664335667,0.356,356,-0.06663655728836285,-0.12784083137288738,0.9990984506429307,0.9189646752401082
RBM38_1543,3.2754972100218134,1.7742939984943242,0.1680675490633072,1.953803135230567,1.5221505565277254,1.7565493185465861,0.07899465807672446,0.07892107892107893,0.07914648807412741,78,-0.04396056099029314,-0.041639150938100666,0.9986109238770038,0.6284068441527577
peak37085,3.2572812943857845,0.31801596935715915,0.08011446977611356,0.4206153453932011,0.17486643018914477,0.31752950657967977,0.750841853956649,0.7522477522477522,0.752,752,0.03882222938863093,0.03593701577770503,0.9987792054513368,0.741324412610818
peak30007,3.2402519990370675,3.5787627726249562,0.09810565987731479,3.731637499171505,3.395346618095332,3.567160986145444,0.0003608697969397223,0.000999000999000999,0.0012550718224063377,0,0.07027342627328631,0.11802006161953038,0.9984857595282283,0.5453745723899903
peak40634,3.224129880556754,2.1949362743562877,0.274024488248108,2.784053954408872,1.8719229811505491,2.166508481024007,0.03027235248367144,0.03496503496503497,0.03204189020522651,34,0.12863625104657628,0.0606669072674304,0.9981530225477752,0.3527436818216101
peak29802,3.215976767141967,2.4425478248355446,0.15405738421094023,2.7555259095427207,2.258375407188856,2.434001739969592,0.014932923305177592,0.02097902097902098,0.019727459177501523,20,-0.049528337638851845,0.36114034031771336,0.9976430368223941,0.16311580725114555
peak55041,0.9025009314954997,1.2971248615105293,0.16144845406607322,1.682246020917052,1.0941289326180899,1.2829855484775579,0.19949713914792921,0.1938061938061938,0.193,193,0.08039686296255781,0.7149228187791477,0.9958914177462829,0.009189614802809795
peak56989,0.9014113304094579,0.15004655124055544,0.08191147708363117,0.2606686558825731,0.04588667010737627,0.14812246392497302,0.8822461213472126,0.8921078921078921,0.892,892,0.13828326948017203,-0.2251902967289583,0.9973607562223339,0.10349938384889068
peak70741,0.8978749451699221,0.32779237307756365,0.1348002958507503,0.6228752560922566,0.16886782026577116,0.3239056722220309,0.7460094494960026,0.7492507492507493,0.749,749,0.18110627317067796,0.26255742796979487,0.9968532318614368,0.044808429569247216
HBE1_992,0.8965230102864363,0.8206647645482867,0.11832617195300203,1.0548904221617517,0.6881448825303723,0.8147810886249021,0.41519762780811154,0.4245754245754246,0.424,424,-0.08432883972985274,0.1346645005233853,0.9982718030357929,0.4155420064336043
peak19544,0.8789937916322219,0.22185551570044484,0.09198703977092618,0.33892965934652886,0.008722163302868976,0.22152040889217997,0.8246872472981854,0.8041958041958042,0.804,804,0.09499068235391574,-0.0809915181451859,0.9983033059223897,0.4333888210460365
