model,head,n_pairs,signed_delta_mean,signed_delta_sd,signed_delta_q05,signed_delta_q95,abs_delta_mean,population_prediction_sd,delta_sd_over_population_sd,abs_delta_mean_over_population_sd,spacer_control_abs_delta_mean,auroc_flip_gt_spacer,auroc_p,pair_specificity_r2,coefficient_of_variation_of_delta,submitted_cohens_d_on_abs_delta,frac_abs_delta_gt_0.05_of_pop_sd
dnabert2,mean_linear,500,0.02108738399296999,0.33120705941247164,-0.48589198403060435,0.5886129399761557,0.2515415924414992,0.5251458464788418,0.6306953804038438,0.4789937769252334,0.36367468421161175,0.391008,0.99999999879072,0.0005080711534195537,15.690693861980433,1.1634512893232272,0.93
dnabert2,cnn1d,500,-0.03389246878772974,0.5546730426724753,-1.1201431810855864,0.6771970950067029,0.403091407649219,0.8758550284125247,0.6332932102676999,0.4602261727946196,0.5427140745967627,0.411772,0.9999993178202536,0.019971748246858656,16.349298585655347,1.0549207763681532,0.916
nt,mean_linear,500,0.0134727829573676,0.26103386794765493,-0.394523186981678,0.4564403101801869,0.1991944442568347,0.4401698878517119,0.5930298167865453,0.45253991641504787,0.26250721864635124,0.40474,0.9999999081447797,0.0012596548100635152,19.355518771234212,1.1786319794116338,0.91
nt,cnn1d,500,-0.04967816027998924,0.574198100922417,-1.2044848322868347,0.8019639268517477,0.4180287921577692,0.8996889107978175,0.6382184931158428,0.46463703969305753,0.521530114248395,0.444624,0.9987839452535318,0.014470052672166833,11.5467966648122,1.0547473313348958,0.92
hyenadna,mean_linear,500,0.004617197200655937,0.06704598025292706,-0.09531186316162348,0.09168181400746064,0.046096885323524475,0.20911474036403072,0.32061814550333567,0.22043823999818563,0.05312078732997179,0.451396,0.9961037438176427,0.0003960257158507341,14.50639810372487,0.943439653634708,0.838
hyenadna,cnn1d,500,-0.07800117060542107,0.5746503377652231,-1.0275551229715345,0.7586847815662616,0.4225328077673912,0.9150439520157879,0.6280029899102686,0.4617623086154237,0.5601168284118175,0.410508,0.9999995192024429,0.012746690777951653,7.35983056868003,1.0649272947433384,0.922
